gvkey,splticrm,spsdrm,spsticrm,datadate,conm,tic
001104,,,,2014-05-31,ACME UNITED CORP,ACU
001104,,,,2014-06-30,ACME UNITED CORP,ACU
001104,,,,2014-07-31,ACME UNITED CORP,ACU
001104,,,,2014-08-31,ACME UNITED CORP,ACU
001104,,,,2014-09-30,ACME UNITED CORP,ACU
001104,,,,2014-10-31,ACME UNITED CORP,ACU
001104,,,,2014-11-30,ACME UNITED CORP,ACU
001104,,,,2014-12-31,ACME UNITED CORP,ACU
001104,,,,2015-01-31,ACME UNITED CORP,ACU
001104,,,,2015-02-28,ACME UNITED CORP,ACU
001104,,,,2015-03-31,ACME UNITED CORP,ACU
001104,,,,2015-04-30,ACME UNITED CORP,ACU
001104,,,,2015-05-31,ACME UNITED CORP,ACU
001104,,,,2015-06-30,ACME UNITED CORP,ACU
001104,,,,2015-07-31,ACME UNITED CORP,ACU
001104,,,,2015-08-31,ACME UNITED CORP,ACU
001210,,,,2009-01-31,AIR T INC,AIRT
001210,,,,2009-02-28,AIR T INC,AIRT
001210,,,,2009-03-31,AIR T INC,AIRT
