Quarter,Companies,Tone,Positive Score,Negative Score,Polarity Score,Activity Reference Density,Self/Group Reference Density,Word Count 
2020Q2,LAD,0.8241965957055886,2.653405200489937,1.8292086047843485,4.482613805274286,21.65453090959487,1.2901066484250652,698.7142857142857
2020Q3,LAD,2.259760586354743,3.4668808952128463,1.207120308858104,4.674001204070952,20.532741027976463,1.2682296610138404,820.4067796610169
2020Q4,LAD,2.1641401906697246,3.1097050152631383,0.9455648245934127,4.0552698398565505,19.40857457242224,0.5538714379285168,633.75
2021Q1,LAD,1.7657955208736593,2.3585983160383597,0.5928027951647016,2.9514011112030616,19.433973439239942,1.21249084534077,993.1666666666666
2021Q2,LAD,1.134262498641591,2.352204474062197,1.217941975420606,3.5701464494828032,19.914263625754007,1.0281897141974021,752.4285714285714
2021Q3,LAD,1.0103938064997258,2.556623221811462,1.5462294153117366,4.102852637123197,20.30150870449926,1.0458273426263411,940.0204081632653
2021Q4,LAD,1.7764299308815754,2.9705642658009133,1.1941343349193376,4.164698600720251,20.93832877899367,0.8984243613776557,724.8363636363637
2022Q1,LAD,0.7896919764955336,1.9041119911566635,1.1144200146611283,3.018532005817792,21.214700096708423,0.8324467979499248,1387.8
2022Q2,LAD,1.133386627522122,1.9306625199384106,0.7972758924162879,2.727938412354698,19.89450424011659,0.4722569994095867,707.75
2022Q3,LAD,1.9234543615186424,2.959714958691007,1.0362605971723657,3.995975555863374,20.10388499264022,0.5134142285789935,656.6153846153846
2022Q4,LAD,1.7851372815324136,2.5445361968624867,0.7593989153300716,3.303935112192558,19.675628295081303,0.645447593553416,838.75
2023Q1,LAD,1.0440886242435938,1.9901345226434315,0.9460458983998367,2.936180421043267,19.873868038236136,0.4403835842320295,1485.175
2023Q2,LAD,1.1619026355192048,2.09980972454678,0.9379070890275748,3.0377168135743546,19.72595406378239,0.35683106878385396,1412.3548387096773
2023Q3,LAD,1.3842198656680758,2.3481044516551517,0.9638845859870762,3.311989037642229,20.098861486886637,0.2672647640904121,1011.2342342342342
2023Q4,LAD,1.7330647438019087,2.574734453087587,0.8416697092856793,3.4164041623732664,19.662295895763727,0.2419711889088707,743.265306122449
2024Q1,LAD,1.3905686997258575,2.264951863874343,0.8743831641484859,3.139335028022829,19.843579621049653,0.39236807107495064,1323.469135802469
2009Q4,LOW,,,,,,,
2010Q1,LOW,,,,,,,
2010Q2,LOW,,,,,,,
2010Q3,LOW,,,,,,,
